symbol,tsg_og
ABI1,TSG
ABL1,OG
ABL2,OG
ACKR3,OG
ACVR1,OG
ACVR2A,TSG
AFF1,OG
AFF3,OG
AFF4,OG
AKAP9,OG
AKT1,OG
AKT2,OG
ALDH2,TSG
ALK,OG
AMER1,TSG
APC,TSG
APOBEC3B,OG
APOBEC3B,TSG
AR,OG
ARHGAP26,TSG
ARHGEF12,TSG
ARID1A,TSG
ARID1B,TSG
ARID2,TSG
ARNT,OG
ARNT,TSG
ASPSCR1,OG
ASXL1,TSG
ATIC,OG
ATM,TSG
ATP1A1,OG
ATP1A1,TSG
ATP2B3,TSG
ATR,TSG
ATRX,TSG
AXIN1,TSG
AXIN2,TSG
B2M,TSG
BAP1,TSG
BCL10,TSG
BCL11A,OG
BCL11B,OG
BCL11B,TSG
BCL2,OG
BCL3,OG
BCL5,OG
BCL6,OG
BCL7A,OG
BCL9,OG
BCL9L,OG
BCL9L,TSG
BCOR,TSG
BCORL1,OG
BCORL1,TSG
BCR,OG
BIRC3,OG
BIRC3,TSG
BLM,TSG
BMPR1A,OG
BMPR1A,TSG
BRAF,OG
BRCA1,TSG
BRCA2,TSG
BRD3,OG
BRD4,OG
BRIP1,TSG
BTG1,TSG
BTK,OG
BTK,TSG
BUB1B,TSG
C2orf44,OG
CACNA1D,OG
CALR,OG
CAMTA1,TSG
CANT1,OG
CARD11,OG
CARS,TSG
CASP8,TSG
CBFB,TSG
CBL,OG
CBL,TSG
CBLB,TSG
CBLC,OG
CBLC,TSG
CCDC6,TSG
CCNB1IP1,TSG
CCND1,OG
CCND2,OG
CCND3,OG
CCNE1,OG
CD274,TSG
CD74,OG
CD79A,OG
CD79B,OG
CDC73,TSG
CDH1,TSG
CDH11,TSG
CDK12,TSG
CDK4,OG
CDK6,OG
CDKN1B,TSG
CDKN2A,TSG
CDKN2C,TSG
CDX2,TSG
CEBPA,TSG
CHD4,OG
CHEK2,TSG
CIC,TSG
CIC,OG
CIITA,TSG
CLTC,TSG
CLTCL1,TSG
CNBP,TSG
CNOT3,TSG
COL1A1,OG
COL2A1,OG
CREB1,OG
CREB3L1,TSG
CREB3L2,OG
CREBBP,OG
CREBBP,TSG
CRLF2,OG
CRTC1,OG
CSF3R,OG
CTCF,TSG
CTNNB1,OG
CUX1,OG
CUX1,TSG
CXCR4,OG
CYLD,TSG
DAXX,OG
DAXX,TSG
DDB2,OG
DDB2,TSG
DDIT3,TSG
DDR2,OG
DDX10,TSG
DDX3X,TSG
DDX5,OG
DEK,OG
DICER1,TSG
DNM2,TSG
DNMT3A,TSG
DROSHA,TSG
EGFR,OG
EIF3E,TSG
ELF4,TSG
ELF4,OG
ELK4,OG
ELL,OG
EP300,TSG
EPAS1,OG
EPAS1,TSG
ERBB2,OG
ERBB3,OG
ERBB4,OG
ERBB4,TSG
ERCC2,TSG
ERCC3,TSG
ERCC4,TSG
ERCC5,TSG
ERG,OG
ESR1,TSG
ESR1,OG
ETNK1,TSG
ETV1,OG
ETV4,OG
ETV5,OG
ETV6,OG
EWSR1,OG
EXT1,TSG
EXT2,TSG
EZH2,OG
EZH2,TSG
EZR,OG
FAM46C,TSG
FANCA,TSG
FANCC,TSG
FANCD2,TSG
FANCE,TSG
FANCF,TSG
FANCG,TSG
FAS,TSG
FAT1,TSG
FAT4,TSG
FBXO11,TSG
FBXW7,TSG
FCGR2B,OG
FES,OG
FES,TSG
FEV,OG
FGFR1,OG
FGFR2,OG
FGFR3,OG
FGFR4,OG
FH,TSG
FHIT,TSG
FIP1L1,OG
FLCN,TSG
FLI1,OG
FLT3,OG
FLT4,OG
FOXA1,OG
FOXL2,OG
FOXL2,TSG
FOXO1,OG
FOXO1,TSG
FOXO3,OG
FOXO3,TSG
FOXO4,OG
FOXO4,TSG
FOXP1,OG
FUBP1,OG
FUS,TSG
GATA1,OG
GATA1,TSG
GATA2,OG
GATA3,OG
GATA3,TSG
GNA11,OG
GNAQ,OG
GNAS,OG
GRIN2A,TSG
H3F3A,OG
H3F3B,OG
HIF1A,OG
HIP1,OG
HIST1H3B,OG
HLF,OG
HMGA1,OG
HMGA2,OG
HNF1A,TSG
HOXA11,OG
HOXA13,OG
HOXA9,OG
HOXC11,OG
HOXC13,OG
HOXD11,OG
HOXD13,OG
HRAS,OG
IDH1,OG
IDH2,OG
IKBKB,OG
IKZF1,TSG
IL6ST,OG
IL7R,OG
IRF4,OG
IRF4,TSG
JAK1,OG
JAK1,TSG
JAK2,OG
JAK3,OG
JUN,OG
KAT6A,OG
KAT6B,TSG
KCNJ5,OG
KDM5A,OG
KDM5C,TSG
KDM6A,OG
KDM6A,TSG
KDR,OG
KEAP1,TSG
KIT,OG
KLF4,OG
KLF4,TSG
KLF6,TSG
KMT2A,OG
KMT2C,TSG
KMT2D,OG
KMT2D,TSG
KRAS,OG
LEF1,OG
LEF1,TSG
LMO1,OG
LMO2,OG
LRIG3,TSG
LRP1B,TSG
LYL1,OG
LZTR1,TSG
MAF,OG
MAFB,OG
MALAT1,TSG
MALAT1,OG
MALT1,OG
MAML2,OG
MAP2K1,OG
MAP2K2,OG
MAP2K4,OG
MAP2K4,TSG
MAP3K1,OG
MAP3K1,TSG
MAP3K13,OG
MAP3K13,TSG
MAPK1,OG
MAX,TSG
MDM2,OG
MDM4,OG
MECOM,OG
MED12,TSG
MEN1,TSG
MET,OG
MITF,OG
MKL1,TSG
MKL1,OG
MLH1,TSG
MLLT1,OG
MLLT3,OG
MLLT4,OG
MN1,OG
MPL,OG
MSH2,TSG
MSH6,TSG
MSI2,OG
MTCP1,OG
MTOR,OG
MUTYH,TSG
MYB,OG
MYC,OG
MYCL,OG
MYCN,OG
MYD88,OG
MYH9,TSG
MYOD1,OG
NAB2,TSG
NBN,TSG
NCOA2,OG
NCOA4,TSG
NCOR1,TSG
NCOR2,TSG
NDRG1,TSG
NF1,TSG
NF2,TSG
NFATC2,OG
NFE2L2,OG
NFE2L2,TSG
NFKB2,OG
NFKBIE,TSG
NKX2-1,OG
NKX2-1,TSG
NOTCH1,OG
NOTCH1,TSG
NOTCH2,OG
NOTCH2,TSG
NPM1,OG
NRAS,OG
NRG1,TSG
NT5C2,OG
NTRK3,OG
NUP214,OG
NUP98,OG
NUTM1,OG
OLIG2,OG
P2RY8,OG
PALB2,TSG
PBRM1,TSG
PDGFB,OG
PDGFRA,OG
PIK3CA,OG
PLAG1,OG
PLCG1,OG
PML,TSG
